?cls	?xref
<http://purl.obolibrary.org/obo/NCBITaxon_314146>	"PMID:15522813"
<http://purl.obolibrary.org/obo/NCBITaxon_39107>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_117570>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9481>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_2743709>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_30727>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_7898>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9526>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_1489341>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_6243>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_8976>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_1549675>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9480>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_314147>	"PMID:15522813"
<http://purl.obolibrary.org/obo/NCBITaxon_314147>	"PMID:12082125"
<http://purl.obolibrary.org/obo/NCBITaxon_314147>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_314147>	"PMID:11214319"
<http://purl.obolibrary.org/obo/NCBITaxon_9031>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_1329799>	"PMID:25450099"
<http://purl.obolibrary.org/obo/NCBITaxon_1329799>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_1329799>	"PMID:22839753"
<http://purl.obolibrary.org/obo/NCBITaxon_1>	"PMID:32761142"
<http://purl.obolibrary.org/obo/NCBITaxon_1>	"PMID:30365038"
<http://purl.obolibrary.org/obo/NCBITaxon_1>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_436489>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_33208>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_1338369>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_314295>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_6231>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_6236>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_186625>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_7711>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_8782>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_10116>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_186634>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_337687>	"PMID:15371245"
<http://purl.obolibrary.org/obo/NCBITaxon_337687>	"PMID:15019624"
<http://purl.obolibrary.org/obo/NCBITaxon_337687>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_7952>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_8825>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_32519>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_436486>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9498>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_32525>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_33154>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_1437010>	"PMID:11791233"
<http://purl.obolibrary.org/obo/NCBITaxon_1437010>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_1437010>	"PMID:11743200"
<http://purl.obolibrary.org/obo/NCBITaxon_9606>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_186623>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_7776>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_55885>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_436491>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9443>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_32443>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_32523>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_7742>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9030>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_1963758>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_376913>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_131567>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_7954>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_2743711>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_1965096>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_207598>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_862507>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9604>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_6072>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_1206794>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_436492>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_40674>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_32524>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9347>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9072>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_6239>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_2301119>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_8492>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_41665>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_8457>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"PMID:30257078"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"PMID:23020233"
<http://purl.obolibrary.org/obo/NCBITaxon_55879>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_32561>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_314293>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_186627>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_119089>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_7955>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9989>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_10066>	"PMID:15371245"
<http://purl.obolibrary.org/obo/NCBITaxon_10066>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9483>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_9605>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_10114>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_117571>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_10088>	"GC_ID:1"
